Year,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
2003,Southeastern Conference,12,220,145,.603,12.95,8.58,4,6,0,Kentucky (East) Mississippi St (West),Kentucky
2003,Big 12 Conference,12,238,146,.620,12.94,8.21,4,6,2,Kansas,Oklahoma
2003,Atlantic Coast Conference,9,170,111,.605,12.75,7.83,3,4,0,Wake Forest,Duke
2003,Big East Conference,14,262,179,.594,11.03,7.13,4,4,1,Boston College (East) Connecticut (East) Pittsburgh (West) Syracuse (West),Pittsburgh
2003,Big Ten Conference,11,200,146,.578,10.68,7.66,2,5,0,Wisconsin,Illinois
2003,Pacific-12 Conference,10,170,132,.563,9.81,7.72,2,5,0,Arizona,Oregon
2004,Atlantic Coast Conference,9,187,104,.643,16.55,10.72,6,6,2,Duke,Maryland
2004,Southeastern Conference,12,227,138,.622,11.76,7.28,3,6,0,Kentucky (East) Mississippi St (West),Kentucky
2004,Big 12 Conference,12,224,150,.599,10.70,6.83,3,4,1,Oklahoma St,Oklahoma St
2004,Big East Conference,14,274,171,.616,10.18,6.61,5,6,1,Pittsburgh,Connecticut
2004,Big Ten Conference,11,188,147,.561,8.21,6.42,2,3,0,Illinois,Wisconsin
2004,Pacific-12 Conference,10,159,133,.545,7.09,5.93,2,3,0,Stanford,Stanford
2005,Atlantic Coast Conference,11,221,132,.626,14.50,9.08,4,5,1,North Carolina,Duke
2005,Big 12 Conference,12,226,144,.611,12.26,7.96,4,6,0,Kansas Oklahoma,Oklahoma St
2005,Big East Conference,12,224,143,.610,11.42,7.21,4,6,0,Boston College Connecticut,Syracuse
2005,Big Ten Conference,11,207,145,.588,11.35,8.26,3,5,2,Illinois,Illinois
2005,Southeastern Conference,12,227,153,.597,11.05,6.81,3,5,0,Kentucky (East) Alabama (West) Louisiana St (West),Florida
2005,Pacific-12 Conference,10,181,128,.586,8.81,6.72,2,4,0,Arizona,Washington
2006,Atlantic Coast Conference,12,238,147,.618,11.53,6.40,3,4,0,Duke,Duke
2006,Big East Conference,16,309,194,.614,11.23,7.13,6,8,0,Connecticut Villanova,Syracuse
2006,Southeastern Conference,12,240,149,.617,11.01,6.96,3,6,2,Tennessee (East) Louisiana St (West),Florida
2006,Pacific-12 Conference,10,181,135,.573,10.43,7.55,2,4,1,UCLA,UCLA
2006,Big 12 Conference,12,215,146,.596,10.39,6.84,3,4,0,Kansas Texas,Kansas
2006,Big Ten Conference,11,213,133,.616,10.32,6.66,3,6,0,Ohio St,Iowa
2007,Atlantic Coast Conference,12,256,150,.631,14.34,8.62,2,7,0,North Carolina Virginia,North Carolina
2007,Southeastern Conference,12,253,153,.623,12.94,7.92,2,5,1,Florida (East) Mississippi St (West),Florida
