Rk,Season,NCAA Tournament,NCAA Champion,NIT Champion,Naismith Award,Wooden Award
1,2016-17 Summary,,,,,
2,2015-16 Summary,2016 NCAA Tournament,Villanova,George Washington,Buddy Hield,Buddy Hield
3,2014-15 Summary,2015 NCAA Tournament,Duke,Stanford,Frank Kaminsky,Frank Kaminsky
4,2013-14 Summary,2014 NCAA Tournament,Connecticut,Minnesota,Doug McDermott,Doug McDermott
5,2012-13 Summary,2013 NCAA Tournament,Louisville,Baylor,Trey Burke,Trey Burke
6,2011-12 Summary,2012 NCAA Tournament,Kentucky,Stanford,Anthony Davis,Anthony Davis
7,2010-11 Summary,2011 NCAA Tournament,Connecticut,Wichita State,Jimmer Fredette,Jimmer Fredette
8,2009-10 Summary,2010 NCAA Tournament,Duke,Dayton,Evan Turner,Evan Turner
9,2008-09 Summary,2009 NCAA Tournament,North Carolina,Penn State,Blake Griffin,Blake Griffin
10,2007-08 Summary,2008 NCAA Tournament,Kansas,Ohio State,Tyler Hansbrough,Tyler Hansbrough
11,2006-07 Summary,2007 NCAA Tournament,Florida,West Virginia,Kevin Durant,Kevin Durant
12,2005-06 Summary,2006 NCAA Tournament,Florida,South Carolina,J.J. Redick,Adam Morrison J.J. Redick
13,2004-05 Summary,2005 NCAA Tournament,North Carolina,South Carolina,Andrew Bogut,Andrew Bogut
14,2003-04 Summary,2004 NCAA Tournament,Connecticut,Michigan,Jameer Nelson,Jameer Nelson
15,2002-03 Summary,2003 NCAA Tournament,Syracuse,St. John's (NY),T.J. Ford,T.J. Ford
16,2001-02 Summary,2002 NCAA Tournament,Maryland,Memphis,Jay Williams,Jay Williams
17,2000-01 Summary,2001 NCAA Tournament,Duke,Tulsa,Shane Battier,Shane Battier
18,1999-00 Summary,2000 NCAA Tournament,Michigan State,Wake Forest,Kenyon Martin,Kenyon Martin
19,1998-99 Summary,1999 NCAA Tournament,Connecticut,University of California,Elton Brand,Elton Brand
20,1997-98 Summary,1998 NCAA Tournament,Kentucky,Minnesota,Antawn Jamison,Antawn Jamison
21,1996-97 Summary,1997 NCAA Tournament,Arizona,Michigan,Tim Duncan,Tim Duncan
22,1995-96 Summary,1996 NCAA Tournament,Kentucky,Nebraska,Marcus Camby,Marcus Camby
23,1994-95 Summary,1995 NCAA Tournament,UCLA,Virginia Tech,Joe Smith,Ed O'Bannon
24,1993-94 Summary,1994 NCAA Tournament,Arkansas,Villanova,Glenn Robinson,Glenn Robinson
25,1992-93 Summary,1993 NCAA Tournament,North Carolina,Minnesota,Calbert Cheaney,Calbert Cheaney
26,1991-92 Summary,1992 NCAA Tournament,Duke,Virginia,Christian Laettner,Christian Laettner
27,1990-91 Summary,1991 NCAA Tournament,Duke,Stanford,Larry Johnson,Larry Johnson
28,1989-90 Summary,1990 NCAA Tournament,UNLV,Vanderbilt,Lionel Simmons,Lionel Simmons
29,1988-89 Summary,1989 NCAA Tournament,Michigan,St. John's (NY),Danny Ferry,Sean Elliott
30,1987-88 Summary,1988 NCAA Tournament,Kansas,Connecticut,Danny Manning,Danny Manning
31,1986-87 Summary,1987 NCAA Tournament,Indiana,Southern Mississippi,David Robinson,David Robinson
32,1985-86 Summary,1986 NCAA Tournament,Louisville,Ohio State,Johnny Dawkins,Walter Berry
33,1984-85 Summary,1985 NCAA Tournament,Villanova,UCLA,Patrick Ewing,Chris Mullin
