"Rk","School","Conf","X.","W","L","Pts","Opp","MOV","X..1","SOS","X..2","OSRS","DSRS","SRS","ORtg","DRtg","NRtg"
"1","North Carolina","ACC","","33","4","88.0","70.3","17.76","","10.66","","23.52","4.90","28.42","","",""
"2","Illinois","Big Ten","","37","2","77.0","61.1","15.90","","8.47","","12.23","11.88","24.10","","",""
"3","Duke","ACC","","27","6","78.2","65.2","12.97","","10.04","","13.00","10.02","23.01","","",""
"4","Louisville","CUSA","","33","5","80.7","64.1","16.58","","6.18","","13.82","8.74","22.57","","",""
"5","Oklahoma State","Big 12","","26","7","78.3","65.2","13.09","","9.68","","13.69","7.71","21.40","","",""
"6","Kansas","Big 12","","23","7","75.0","65.2","9.83","","10.85","","12.24","8.44","20.68","","",""
"7","Michigan State","Big Ten","","26","7","78.5","65.4","13.06","","7.41","","13.85","6.62","20.47","","",""
"8","Wake Forest","ACC","","27","6","84.9","74.0","10.91","","10.27","","20.23","0.01","20.24","","",""
"9","Florida","SEC (East)","","24","8","76.2","63.1","13.06","","7.12","","10.39","9.80","20.18","","",""
"10","Oklahoma","Big 12","","25","8","75.2","63.3","11.88","","8.84","","9.43","10.54","19.96","","",""
"11","Washington","Pac-10","","29","6","86.5","74.2","12.29","","7.66","","20.98","-1.21","19.77","","",""
"12","Kentucky","SEC (East)","","28","6","73.6","62.6","11.06","","8.10","","9.01","10.15","19.16","","",""
"13","Villanova","Big East","","24","8","73.0","62.4","10.63","","8.43","","9.72","9.34","19.06","","",""
"14","Connecticut","Big East","","23","8","78.0","66.8","11.19","","7.62","","13.23","5.58","18.82","","",""
"15","Arizona","Pac-10","","30","7","79.7","69.7","9.97","","8.03","","13.79","4.22","18.00","","",""
"16","Cincinnati","CUSA","","25","8","75.9","64.5","11.36","","6.74","","10.04","7.60","17.64","","",""
"17","Georgia Tech","ACC","","20","12","74.1","66.7","7.44","","9.78","","9.42","7.80","17.21","","",""
"18","Wisconsin","Big Ten","","25","9","67.4","60.2","7.15","","9.61","","3.70","13.06","16.76","","",""
"19","Alabama","SEC (West)","","24","8","75.8","65.1","10.72","","6.81","","9.52","7.22","16.74","","",""
"20","Texas Tech","Big 12","","22","11","76.8","69.3","7.52","","9.11","","11.27","4.97","16.24","","",""
"21","North Carolina State","ACC","","21","14","73.1","66.1","7.00","","9.16","","6.87","9.29","16.16","","",""
"22","Syracuse","Big East","","27","7","74.9","64.6","10.32","","6.83","","9.18","6.77","15.95","","",""
"23","Texas","Big 12","","20","11","76.9","68.5","8.39","","7.56","","10.90","4.60","15.49","","",""
"24","Iowa","Big Ten","","21","12","72.9","67.3","5.64","","9.34","","10.21","4.76","14.97","","",""
"25","Pittsburgh","Big East","","20","9","72.3","63.5","8.79","","5.73","","6.84","7.69","14.53","","",""
"26","Boston College","Big East","","25","5","72.5","64.5","7.97","","6.41","","7.48","6.90","14.38","","",""
"27","Utah","MWC","","29","6","68.0","57.3","10.69","","4.54","","-1.28","15.29","14.01","","",""
"28","Maryland","ACC","","19","13","81.9","76.0","5.88","","7.89","","15.71","-1.95","13.76","","",""
"29","Vanderbilt","SEC (East)","","20","14","71.2","64.9","6.24","","7.30","","6.16","7.38","13.53","","",""
"30","Gonzaga","WCC","","26","5","79.2","69.6","9.52","","4.37","","12.54","0.77","13.30","","",""
"31","Texas A&M","Big 12","","21","10","73.6","63.5","10.06","","5.19","","6.66","6.49","13.15","","",""
"32","Ohio State","Big Ten","","20","12","71.0","64.1","6.94","","6.20","","6.24","6.90","13.14","","",""
"33","Utah State","Big West","","24","8","72.3","57.8","14.59","","-1.47","","3.50","9.25","12.75","","",""
"34","Mississippi State","SEC (West)","","23","11","72.5","66.0","6.50","","6.05","","6.94","5.61","12.55","","",""
"35","Arkansas","SEC (West)","","18","12","71.6","62.8","8.73","","3.60","","4.30","8.03","12.33","","",""
"36","Minnesota","Big Ten","","21","11","68.0","62.9","5.09","","6.96","","4.03","8.03","12.06","","",""
"37","South Carolina","SEC (East)","","20","13","68.6","64.6","3.97","","7.85","","4.43","7.39","11.82","","",""
"38","West Virginia","Big East","","24","11","71.5","67.3","4.14","","7.62","","5.77","5.99","11.76","","",""
"39","Louisiana State","SEC (West)","","20","10","75.2","71.4","3.83","","7.77","","10.39","1.21","11.60","","",""
"40","Southern Illinois","MVC","","27","8","67.6","60.7","6.91","","5.12","","1.10","10.43","11.53","","",""
"41","Iowa State","Big 12","","19","12","68.1","64.7","3.45","","8.40","","3.14","8.23","11.37","","",""
"42","Memphis","CUSA","","22","16","71.4","65.5","5.89","","5.40","","4.85","6.45","11.30","","",""
"43","Clemson","ACC","","16","16","71.7","69.3","2.38","","8.86","","6.27","4.96","11.23","","",""
"44","New Mexico","MWC","","26","7","75.5","64.3","11.24","","1.51","","6.36","4.73","11.09","","",""
"45","George Washington","A-10 (West)","","22","8","76.9","67.4","9.57","","1.05","","9.66","0.96","10.62","","",""
"46","Alabama-Birmingham","CUSA","","22","11","77.5","71.8","5.64","","4.78","","10.92","-0.50","10.42","","",""
"47","Milwaukee","Horizon","","26","6","75.0","64.3","10.66","","1.44","","8.28","2.13","10.41","","",""
"48","Indiana","Big Ten","","15","14","63.8","63.6","0.17","","10.01","","1.28","8.90","10.18","","",""
"49","Creighton","MVC","","23","11","71.2","64.9","6.29","","3.84","","4.55","5.59","10.14","","",""
"50","Northern Iowa","MVC","","21","11","72.2","66.5","5.75","","5.31","","5.49","4.65","10.14","","",""
"51","Providence","Big East","","14","17","74.5","72.3","2.13","","8.87","","10.11","-0.07","10.04","","",""
"52","Kansas State","Big 12","","17","12","69.1","65.9","3.17","","7.72","","3.76","6.22","9.98","","",""
"53","Missouri State","MVC","","19","13","73.1","67.7","5.38","","4.51","","7.25","2.63","9.89","","",""
"54","Georgetown","Big East","","19","13","64.4","61.1","3.31","","6.54","","-0.28","10.14","9.86","","",""
"55","Charlotte","CUSA","","21","8","77.8","72.2","5.66","","3.97","","11.80","-2.17","9.63","","",""
"56","Texas-El Paso","WAC","","27","8","74.7","65.1","9.66","","0.91","","7.29","2.32","9.61","","",""
"57","Wichita State","MVC","","22","10","71.9","66.6","5.25","","4.36","","5.30","4.31","9.61","","",""
"58","Miami (FL)","ACC","","16","13","71.4","69.7","1.76","","7.78","","5.01","4.52","9.53","","",""
"59","Nebraska","Big 12","","14","14","68.0","63.9","4.11","","6.39","","1.65","7.74","9.39","","",""
"60","Notre Dame","Big East","","17","12","67.3","64.1","3.21","","6.18","","2.92","6.47","9.39","","",""
"61","Nevada","WAC","","25","7","69.5","61.7","7.84","","3.02","","0.77","8.48","9.25","","",""
"62","Arizona State","Pac-10","","18","14","76.0","72.2","3.84","","5.36","","9.15","0.06","9.21","","",""
"63","UCLA","Pac-10","","18","11","73.7","71.7","2.07","","7.09","","7.63","1.53","9.16","","",""
"64","Stanford","Pac-10","","18","13","70.1","68.8","1.26","","8.13","","4.30","4.80","9.10","","",""
"65","DePaul","CUSA","","20","11","68.4","64.1","4.32","","4.62","","2.74","6.20","8.95","","",""
"66","Pacific","Big West","","27","4","72.8","64.9","7.97","","1.16","","5.19","3.76","8.95","","",""
"67","Air Force","MWC","","18","12","61.2","54.3","6.87","","2.61","","-6.92","15.53","8.61","","",""
"68","Tennessee","SEC (East)","","14","17","69.0","68.9","0.10","","8.37","","4.66","3.81","8.47","","",""
"69","Vermont","AEC","","25","7","71.8","62.1","9.75","","-1.95","","3.58","4.22","7.80","","",""
"70","Saint Joseph's","A-10 (East)","","24","12","63.7","58.6","5.11","","3.32","","-2.80","10.57","7.77","","",""
"71","Miami (OH)","MAC (East)","","19","11","65.7","61.3","4.40","","3.62","","-2.27","10.00","7.72","","",""
"72","Virginia","ACC","","14","15","72.8","76.0","-3.14","","10.62","","7.32","0.17","7.49","","",""
"73","Missouri","Big 12","","16","17","64.4","66.3","-1.94","","9.24","","-0.03","7.34","7.30","","",""
"74","Western Michigan","MAC (West)","","20","13","72.9","67.2","5.76","","2.01","","4.32","2.90","7.23","","",""
"75","Akron","MAC (East)","","19","10","71.8","65.6","6.21","","1.67","","2.89","4.15","7.03","","",""
"76","Xavier","A-10 (West)","","17","12","70.1","65.0","5.07","","1.90","","3.80","3.16","6.96","","",""
"77","Florida State","ACC","","12","19","68.6","70.0","-1.35","","8.99","","2.19","4.63","6.82","","",""
"78","Saint Mary's (CA)","WCC","","25","9","69.8","64.1","5.74","","2.40","","1.02","5.67","6.68","","",""
"79","Temple","A-10 (East)","","16","14","63.8","61.4","2.37","","4.31","","-1.92","8.60","6.68","","",""
"80","Marquette","CUSA","","19","12","67.1","64.8","2.32","","4.73","","1.54","5.06","6.60","","",""
"81","Oregon","Pac-10","","14","13","70.9","71.1","-0.22","","6.68","","4.63","1.83","6.46","","",""
"82","Washington State","Pac-10","","12","16","55.9","56.9","-1.00","","7.39","","-11.87","18.26","6.39","","",""
"83","Rice","WAC","","19","12","74.2","70.0","4.23","","3.07","","5.94","0.28","6.21","","",""
"84","Nevada-Las Vegas","MWC","","17","14","73.3","72.4","0.87","","5.61","","7.03","-0.92","6.11","","",""
"85","Old Dominion","CAA","","28","6","71.5","61.1","10.32","","-2.59","","0.35","5.62","5.97","","",""
"86","Buffalo","MAC (East)","","23","10","74.6","71.0","3.58","","2.39","","7.04","-1.08","5.96","","",""
"87","Purdue","Big Ten","","7","21","62.9","68.1","-5.14","","11.07","","0.66","5.27","5.93","","",""
"88","Holy Cross","Patriot","","25","7","66.9","56.8","10.09","","-4.21","","-1.56","7.45","5.88","","",""
"89","Louisiana-Lafayette","Sun Belt (West)","","20","11","72.2","68.0","4.19","","1.91","","3.38","2.33","5.71","","",""
"90","Virginia Tech","ACC","","16","14","68.5","68.7","-0.17","","5.79","","1.57","4.06","5.63","","",""
"91","Kent State","MAC (East)","","20","13","70.4","66.9","3.42","","2.75","","1.82","3.60","5.43","","",""
"92","Mississippi","SEC (West)","","14","17","63.8","64.1","-0.29","","5.72","","-2.04","7.47","5.43","","",""
"93","Texas Christian","CUSA","","21","14","70.4","68.1","2.23","","3.54","","3.11","2.31","5.43","","",""
"94","Ohio","MAC (East)","","21","11","71.5","67.9","3.56","","1.80","","3.98","1.38","5.36","","",""
"95","Oral Roberts","Mid-Cont","","25","8","77.3","67.6","9.73","","-2.06","","4.05","1.17","5.22","","",""
"96","Seton Hall","Big East","","12","16","62.7","63.8","-1.04","","6.04","","-2.49","7.50","5.01","","",""
"97","Western Kentucky","Sun Belt (East)","","22","9","77.0","71.2","5.84","","-0.49","","7.48","-2.47","5.01","","",""
"98","St. John's (NY)","Big East","","9","18","64.4","66.8","-2.44","","7.42","","-0.51","5.48","4.98","","",""
"99","Colorado","Big 12","","14","16","71.6","73.9","-2.37","","8.50","","7.31","-2.40","4.91","","",""
"100","Toledo","MAC (West)","","16","13","70.9","68.6","2.24","","3.18","","2.70","2.12","4.82","","",""
"101","Michigan","Big Ten","","13","18","61.6","64.0","-2.32","","7.12","","-2.69","7.49","4.79","","",""
"102","Pennsylvania","Ivy","","20","9","68.3","61.7","6.69","","-1.98","","0.27","4.44","4.71","","",""
"103","Houston","CUSA","","18","14","69.6","68.8","0.72","","3.92","","2.31","2.33","4.64","","",""
"104","Denver","Sun Belt (West)","","20","11","73.1","67.0","6.13","","-0.44","","3.01","1.55","4.56","","",""
"105","Southern California","Pac-10","","12","17","74.4","76.8","-2.38","","6.91","","8.13","-3.60","4.53","","",""
"106","Northwestern","Big Ten","","15","16","59.0","62.0","-3.06","","7.38","","-5.45","9.76","4.32","","",""
"107","Ball State","MAC (West)","","15","13","71.1","68.3","2.82","","3.31","","3.49","0.78","4.27","","",""
"108","Hawaii","WAC","","16","13","68.6","66.4","2.21","","1.86","","0.88","3.19","4.07","","",""
"109","Wyoming","MWC","","15","13","70.9","70.9","0.00","","3.91","","6.06","-2.15","3.91","","",""
"110","Southern Methodist","WAC","","14","14","69.5","67.5","1.96","","2.11","","1.06","2.54","3.59","","",""
"111","Illinois State","MVC","","17","13","66.8","65.4","1.40","","3.34","","-0.46","4.04","3.58","","",""
"112","Dayton","A-10 (West)","","18","11","64.7","61.6","3.14","","0.38","","-2.77","6.29","3.52","","",""
"113","Rutgers","Big East","","10","19","64.9","69.9","-4.93","","8.75","","1.42","1.90","3.32","","",""
"114","Boston University","AEC","","20","9","62.8","55.7","7.10","","-3.86","","-6.06","9.31","3.24","","",""
"115","Bradley","MVC","","13","15","70.0","71.3","-1.32","","4.55","","4.22","-0.99","3.23","","",""
"116","Niagara","MAAC","","20","10","84.6","78.4","6.20","","-3.08","","13.31","-10.19","3.12","","",""
