Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Villanova,Big East,,30,4,87.1,70.9,16.18,,9.51,,17.38,8.31,25.69,127.58,91.07,36.51
2,Duke,ACC,,26,7,84.7,69.6,15.09,,9.91,,16.79,8.21,25.00,124.36,88.37,35.99
3,Purdue,Big Ten,,28,6,81.1,65.6,15.50,,8.64,,13.59,10.55,24.14,124.36,89.63,34.73
4,Virginia,ACC,,31,2,67.5,53.4,14.15,,9.69,,-1.23,25.07,23.84,117.39,79.92,37.47
5,Michigan State,Big Ten,,29,4,81.0,64.8,16.18,,7.28,,11.43,12.04,23.46,122.53,88.24,34.29
6,Kansas,Big 12,,27,7,81.5,70.9,10.56,,11.45,,13.46,8.55,22.01,122.94,91.77,31.18
7,North Carolina,ACC,,25,10,82.0,73.1,8.86,,12.44,,16.28,5.02,21.29,121.68,91.51,30.17
8,Cincinnati,AAC,,30,4,74.5,57.1,17.32,,3.54,,3.33,17.53,20.86,113.52,82.31,31.21
9,West Virginia,Big 12,,24,10,79.6,69.0,10.62,,9.55,,12.43,7.73,20.17,119.63,91.18,28.45
10,Xavier,Big East,,28,5,84.3,74.5,9.79,,9.84,,15.50,4.13,19.63,122.08,94.34,27.74
11,Texas Tech,Big 12,,24,9,75.2,64.7,10.55,,9.02,,5.78,13.79,19.57,114.81,86.53,28.28
12,Gonzaga,WCC,,30,4,84.5,67.1,17.38,,2.05,,13.10,6.33,19.43,119.73,91.53,28.20
13,Michigan,Big Ten,,28,7,74.5,63.5,10.91,,8.78,,4.61,14.29,18.90,116.08,88.08,28.00
14,Tennessee,SEC,,25,8,74.2,66.4,7.82,,10.80,,6.19,12.43,18.62,115.93,88.35,27.58
15,Ohio State,Big Ten,,24,8,75.8,66.7,9.13,,8.97,,7.46,10.64,18.10,117.41,90.37,27.05
16,Kentucky,SEC,,24,10,76.7,70.3,6.44,,11.16,,9.53,8.07,17.60,117.06,91.55,25.51
17,Auburn,SEC,,25,7,83.4,73.3,10.06,,7.47,,14.31,3.23,17.53,118.17,93.52,24.65
18,Wichita State,AAC,,25,7,83.0,71.3,11.66,,5.87,,13.49,4.03,17.53,121.06,96.17,24.89
19,Texas Christian,Big 12,,21,11,83.0,75.9,7.06,,9.97,,14.11,2.92,17.03,121.25,96.90,24.34
20,Arizona,Pac-12,,27,7,80.9,71.2,9.71,,7.21,,11.05,5.87,16.92,120.46,95.69,24.78
21,Creighton,Big East,,21,11,84.3,74.2,10.06,,8.05,,13.37,3.52,16.89,118.55,94.76,23.79
22,Florida,SEC,,20,12,76.1,69.4,6.63,,10.19,,8.34,8.47,16.81,116.41,92.16,24.26
23,Clemson,ACC,,23,9,73.3,65.8,7.47,,9.04,,4.24,12.27,16.51,113.43,88.89,24.54
24,Butler,Big East,,20,13,79.1,72.8,6.33,,10.11,,9.74,6.70,16.44,116.20,92.50,23.71
25,Houston,AAC,,26,7,77.4,64.9,12.52,,3.87,,7.77,8.61,16.38,115.57,91.35,24.22
26,Texas A&M,SEC,,20,12,75.0,69.8,5.19,,10.52,,5.95,9.77,15.71,111.49,89.14,22.35
27,Arkansas,SEC,,23,11,81.1,75.5,5.56,,10.12,,12.52,3.17,15.68,118.40,96.54,21.86
28,Seton Hall,Big East,,21,11,79.0,73.3,5.69,,9.81,,10.27,5.23,15.49,116.52,94.22,22.30
29,Penn State,Big Ten,,21,13,74.6,66.9,7.71,,7.58,,6.05,9.23,15.28,113.73,90.73,23.00
30,Louisville,ACC,,20,13,76.2,70.5,5.67,,9.47,,8.49,6.64,15.13,114.05,91.78,22.27
31,Baylor,Big 12,,18,14,75.4,69.8,5.69,,9.90,,4.67,10.35,15.03,112.61,91.11,21.49
32,Arizona State,Pac-12,,20,11,83.5,75.3,8.19,,6.81,,14.57,0.43,15.01,118.31,97.45,20.86
33,Florida State,ACC,,20,11,81.8,74.5,7.29,,7.68,,13.29,1.68,14.97,116.07,94.98,21.09
34,Virginia Tech,ACC,,21,11,79.7,71.8,7.97,,6.91,,10.33,4.55,14.88,116.83,95.36,21.48
35,Missouri,SEC,,20,12,73.3,68.1,5.19,,9.35,,4.95,9.60,14.55,114.16,92.97,21.19
36,Nevada,MWC,,27,7,83.1,72.9,10.21,,4.34,,12.43,2.12,14.55,119.00,97.85,21.16
37,Texas,Big 12,,19,14,71.7,68.2,3.52,,10.92,,3.52,10.92,14.44,110.64,89.81,20.84
38,Oklahoma,Big 12,,18,13,85.2,81.6,3.52,,10.89,,17.57,-3.16,14.41,116.88,96.91,19.96
39,Notre Dame,ACC,,20,14,75.0,68.7,6.35,,8.67,,5.99,8.40,14.40,117.29,95.86,21.43
40,Maryland,Big Ten,,19,13,73.1,66.9,6.19,,8.07,,5.29,8.62,13.91,114.55,93.92,20.63
41,Southern California,Pac-12,,23,11,77.1,70.2,6.88,,6.87,,7.38,6.36,13.75,115.78,95.68,20.10
42,North Carolina State,ACC,,21,11,81.2,74.5,6.75,,6.74,,12.66,0.83,13.49,116.40,97.18,19.22
43,Kansas State,Big 12,,22,11,72.4,67.9,4.48,,8.95,,2.75,10.69,13.44,112.97,93.13,19.84
44,Miami (FL),ACC,,22,9,74.2,68.0,6.13,,7.14,,4.82,8.46,13.27,112.30,92.55,19.75
45,Oklahoma State,Big 12,,19,14,76.4,73.1,3.33,,9.70,,6.64,6.40,13.03,112.47,93.68,18.79
46,Alabama,SEC,,19,15,72.4,70.0,2.38,,10.56,,4.30,8.64,12.95,109.69,91.07,18.63
47,Saint Mary's (CA),WCC,,28,5,77.0,64.5,12.48,,0.44,,5.45,7.47,12.92,119.48,98.98,20.50
48,UCLA,Pac-12,,21,11,81.9,76.3,5.59,,7.26,,12.93,-0.07,12.85,117.04,98.22,18.81
49,Marquette,Big East,,19,13,81.2,78.5,2.72,,9.92,,12.18,0.46,12.64,119.37,100.63,18.75
50,San Diego State,MWC,,22,10,77.5,67.9,9.59,,3.84,,5.13,7.35,12.49,111.52,93.44,18.08
51,Syracuse,ACC,,20,13,67.5,64.5,3.00,,9.25,,-1.56,13.81,12.25,107.74,89.15,18.60
52,Rhode Island,A-10,,25,7,76.2,67.9,8.28,,3.90,,5.28,6.90,12.18,111.83,93.56,18.27
53,Louisiana State,SEC,,17,14,77.5,73.9,3.61,,8.29,,8.47,3.44,11.90,117.17,99.42,17.75
54,Boise State,MWC,,23,8,78.3,68.8,9.52,,3.14,,5.38,6.29,11.67,109.80,93.11,16.69
55,Mississippi State,SEC,,22,11,73.7,67.9,5.85,,6.36,,3.72,7.64,11.36,109.77,93.13,16.65
56,Nebraska,Big Ten,,22,10,72.7,68.7,4.00,,7.34,,4.10,7.25,11.34,111.79,94.46,17.32
57,Davidson,A-10,,21,11,76.4,67.6,8.88,,2.37,,5.41,5.83,11.24,118.84,100.50,18.34
58,Oregon,Pac-12,,22,12,77.2,71.1,6.09,,5.15,,5.10,6.14,11.24,111.73,95.70,16.03
59,Providence,Big East,,21,13,73.7,72.7,1.03,,10.19,,3.47,7.75,11.22,109.27,92.83,16.44
60,Utah,Pac-12,,19,11,73.5,68.7,4.77,,6.24,,2.61,8.40,11.01,111.43,95.28,16.15
61,Wisconsin,Big Ten,,15,18,66.8,66.0,0.88,,9.83,,-1.22,11.93,10.71,111.47,94.86,16.60
62,Georgia,SEC,,18,15,68.1,66.7,1.36,,9.32,,-0.58,11.27,10.69,107.11,91.59,15.52
63,St. John's (NY),Big East,,16,17,73.1,72.6,0.45,,10.85,,4.09,6.35,10.44,106.93,91.91,15.02
64,Indiana,Big Ten,,16,15,71.9,70.3,1.65,,8.56,,3.07,7.13,10.20,110.18,94.89,15.29
65,Western Kentucky,CUSA,,24,10,78.4,70.1,8.26,,2.42,,6.55,3.48,10.03,113.15,97.88,15.27
