"Rk","School","G","W","L","W.L.","SRS","SOS","W.1","L.1","W.2","L.2","W.3","L.3","Tm.","Opp.","X.","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF"
"1","Air Force","28","12","16",".429","1.71","1.46","3","11","9","4","3","10","1603","1596","","","536","1114",".481","219","583",".376","312","479",".651","","588","364","167","50","320","525"
"2","Akron","28","14","14",".500","-0.80","-1.43","9","9","10","5","4","9","2201","2155","","","761","1562",".487","152","447",".340","527","722",".730","","830","428","209","69","349","552"
"3","Alabama A&M","27","8","19",".296","-16.71","-11.83","4","14","6","7","2","12","1962","2072","","","670","1680",".399","207","563",".368","415","587",".707","","995","403","254","59","505","547"
"4","Alabama-Birmingham","34","21","13",".618","7.60","3.89","8","8","12","4","4","9","2640","2477","","","969","2179",".445","219","664",".330","483","708",".682","","1189","510","394","99","493","718"
"5","Alabama State","29","14","15",".483","-10.33","-10.00","11","7","9","4","5","9","1860","1846","","","685","1602",".428","179","511",".350","311","479",".649","","1043","340","239","92","486","527"
"6","Alabama","29","17","12",".586","13.36","9.40","7","9","13","2","1","8","2002","1887","","","695","1653",".420","183","568",".322","429","602",".713","","1079","352","187","112","380","527"
"7","Albany (NY)","28","7","21",".250","-14.87","-5.09","3","13","5","9","2","11","1846","2120","","","673","1609",".418","222","621",".357","278","379",".734","","800","334","192","57","352","445"
"8","Alcorn State","33","14","19",".424","-12.39","-8.36","10","8","7","3","5","12","2280","2413","","","823","1939",".424","172","542",".317","462","690",".670","","1197","457","270","116","609","650"
"9","American","30","16","14",".533","-1.38","-5.85","9","5","11","1","3","13","1991","1857","","","695","1606",".433","263","693",".380","338","496",".681","","989","422","192","51","393","545"
"10","Appalachian State","29","19","10",".655","-1.92","-3.46","11","5","12","2","6","7","2434","2309","","","844","1885",".448","207","641",".323","539","753",".716","","1137","457","299","134","475","536"
"11","Arizona State","32","20","12",".625","15.01","9.27","11","7","12","3","4","6","2464","2257","","","886","1838",".482","131","404",".324","561","832",".674","","1162","506","173","139","437","626"
"12","Arizona","32","28","4",".875","23.42","8.95","17","1","14","1","11","1","2725","2262","","","973","2111",".461","228","645",".353","551","777",".709","","1374","569","274","136","468","559"
"13","Arkansas-Little Rock","30","18","12",".600","-0.94","-0.91","8","6","11","2","4","8","2125","2111","","","721","1581",".456","204","541",".377","479","694",".690","","1004","357","204","78","500","611"
"14","Arkansas-Pine Bluff","28","4","24",".143","-24.22","-4.54","4","14","2","8","2","16","1526","2077","","","539","1518",".355","133","472",".282","315","492",".640","","867","282","222","75","533","563"
"15","Arkansas State","28","13","15",".464","-0.06","-1.37","6","8","9","5","3","9","2072","1918","","","688","1549",".444","241","611",".394","455","612",".743","","888","355","214","47","370","597"
"16","Arkansas","28","9","19",".321","4.67","9.57","4","12","8","8","1","9","1726","1863","","","611","1556",".393","170","548",".310","334","548",".609","","1063","275","181","99","467","588"
"17","Army","27","5","22",".185","-19.72","-5.92","0","14","4","9","1","12","1482","1769","","","539","1290",".418","164","452",".363","240","352",".682","","808","322","163","47","463","510"
"18","Auburn","34","22","12",".647","12.68","8.34","8","8","13","4","4","5","2408","2235","","","879","1890",".465","198","573",".346","452","685",".660","","1200","457","269","176","541","561"
"19","Austin Peay","31","23","8",".742","-0.84","-1.98","13","3","14","0","6","7","2204","2101","","","758","1648",".460","192","553",".347","496","719",".690","","1084","424","225","143","476","567"
"20","Ball State","30","13","17",".433","-0.57","2.17","8","10","9","5","2","11","2199","2281","","","778","1814",".429","161","500",".322","482","664",".726","","1047","315","156","66","385","687"
"21","Baylor","28","14","14",".500","6.04","5.44","5","11","10","6","2","7","1932","1915","","","661","1624",".407","254","743",".342","356","491",".725","","977","398","233","83","372","441"
"22","Belmont","29","17","12",".586","-2.30","-4.05","12","4","8","3","7","8","2108","2029","","","747","1596",".468","237","647",".366","377","542",".696","","1000","493","267","52","491","526"
"23","Bethune-Cookman","30","8","22",".267","-19.13","-10.93","5","13","4","7","3","14","1941","2187","","","693","1677",".413","171","478",".358","384","554",".693","","982","329","248","54","476","583"
"24","Binghamton","27","14","13",".519","-4.76","-5.13","9","7","9","2","4","11","1797","1787","","","649","1544",".420","207","592",".350","292","432",".676","","970","343","174","176","407","493"
"25","Boise State","29","13","16",".448","-0.97","0.07","7","11","9","7","4","8","1897","1924","","","666","1626",".410","149","512",".291","416","596",".698","","957","335","187","109","412","560"
"26","Boston College","31","19","12",".613","10.30","7.23","10","6","9","6","9","3","2462","2367","","","869","1849",".470","185","535",".346","539","780",".691","","1116","522","212","88","414","585"
"27","Boston University","31","20","11",".645","1.10","-3.42","13","3","10","3","8","8","2100","1960","","","728","1699",".428","204","601",".339","440","593",".742","","1100","420","176","107","414","626"
"28","Bowling Green State","29","13","16",".448","-2.20","1.95","8","10","8","4","4","10","1962","2012","","","629","1427",".441","185","505",".366","519","704",".737","","908","378","230","76","482","640"
