Rk,School,G,W,L,W.L.,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,X.,MP,FG,FGA,FG.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,31,25,6,0.806,-1.32,-7.91,14,4,13,2,10,4,2312,1956,,1250,828,1750,0.473,235,605,0.388,421,590,0.714,306,1030,488,266,85,372,584
2,Air Force,30,13,17,0.433,-3.99,1.01,8,10,9,6,3,9,2042,2162,,1220,754,1666,0.453,217,655,0.331,317,467,0.679,236,998,397,145,52,397,510
3,Akron,31,16,15,0.516,5.35,1.07,8,10,13,3,1,10,2145,1974,,1245,756,1838,0.411,276,874,0.316,357,509,0.701,305,1134,379,175,96,362,526
4,Alabama A&M,32,5,27,0.156,-19.1,-8.25,4,14,4,7,0,18,1938,2285,,1295,736,1807,0.407,182,576,0.316,284,453,0.627,314,1025,384,234,49,487,587
5,Alabama-Birmingham,31,18,13,0.581,0.52,-1.24,10,8,11,5,6,5,2178,2089,,1250,805,1779,0.453,209,621,0.337,359,537,0.669,321,1135,365,197,72,356,517
6,Alabama State,29,11,18,0.379,-15.73,-7.59,9,9,8,3,2,13,1962,2106,,1170,668,1652,0.404,204,635,0.321,422,638,0.661,338,1020,292,189,98,420,526
7,Alabama,31,17,14,0.548,10.37,9.44,8,10,10,5,4,8,2252,2223,,1240,786,1761,0.446,222,653,0.34,458,685,0.669,340,1159,381,138,148,422,536
8,Albany (NY),32,12,20,0.375,-9.05,-6.38,7,9,6,8,6,10,2150,2216,,1300,728,1750,0.416,274,790,0.347,420,564,0.745,294,1083,402,195,78,454,566
9,Alcorn State,30,10,20,0.333,-21.77,-8.92,6,12,10,3,0,16,1929,2108,,1205,685,1666,0.411,205,632,0.324,354,526,0.673,322,1045,380,226,102,475,527
10,American,30,15,15,0.5,-3.84,-6.87,9,9,8,7,6,8,2161,2070,,1220,780,1643,0.475,190,583,0.326,411,589,0.698,251,1013,401,221,131,386,520
11,Appalachian State,31,11,20,0.355,-3.29,0.35,6,12,9,5,2,11,2477,2450,,1250,853,1881,0.453,280,784,0.357,491,688,0.714,304,1100,396,166,85,406,571
12,Arizona State,30,21,9,0.7,10.45,5.62,12,6,13,3,6,5,2332,2187,,1215,799,1787,0.447,218,646,0.337,516,772,0.668,366,1203,411,188,94,410,598
13,Arizona,31,17,14,0.548,8.94,6.46,8,10,12,5,4,7,2204,2127,,1250,771,1804,0.427,230,677,0.34,432,601,0.719,313,1077,386,162,67,358,577
